title,authors,abstract,arxiv_id,category,date,pdf_url
TV2TV: A Unified Framework for Interleaved Language and Video Generation,"['Xiaochuang Han', 'Youssef Emad', 'Melissa Hall', 'John Nguyen', 'Karthik Padthe', 'Liam Robbins', 'Amir Bar', 'Delong Chen', 'Michal Drozdzal', 'Maha Elbayad', 'Yushi Hu', 'Shang-Wen Li', 'Sreya Dutta Roy', 'Jakob Verbeek', 'XuDong Wang', 'Marjan Ghazvininejad', 'Luke Zettlemoyer', 'Emily Dinan']","Video generation models are rapidly advancing, but can still struggle with complex video outputs that require significant semantic branching or repeated high-level reasoning about what should happen next. In this paper, we introduce a new class of omni video-text models that integrate ideas from recent LM reasoning advances to address this challenge. More specifically, we present TV2TV, a unified generative modeling framework which decomposes video generation into an interleaved text and video generation process. TV2TV jointly learns language modeling (next-token prediction) and video flow matching (next-frame prediction) using a Mixture-of-Transformers (MoT) architecture. At inference time, TV2TV decides when to alternate between generating text and video frames, allowing the model to ""think in words"" about subsequent content before ``acting in pixels'' to produce frames. This design offloads much of the responsibility for deciding what should happen next to the language modeling tower, enabling improved visual quality and prompt alignment of generated videos. It also enables fine-grained controllability, allowing users to modify the video generation trajectory through text interventions at any point in the process. In controlled experiments on video game data, TV2TV demonstrates substantial improvements in both visual quality and controllability. TV2TV also scales to natural videos, as we show by augmenting sports videos with interleaved natural language action descriptions using vision-language models (VLMs). Training TV2TV on this corpus yields strong visual quality and prompt alignment, showcasing the model's ability to reason about and generate complex real-world action sequences. Together, these results highlight TV2TV as a promising step toward video generation with open-ended textual reasoning and control.",2512.05103v1,cs.LG,2025-12-04 18:59:09+00:00,https://arxiv.org/pdf/2512.05103v1
Decoy-state quantum key distribution over 227 km with a frequency-converted telecom single-photon source,"['Frederik Brooke Barnes', 'Roberto G. Pousa', 'Christopher L. Morrison', 'Zhe Xian Koong', 'Joseph Ho', 'Francesco Graffitti', 'John Jeffers', 'Daniel K. L. Oi', 'Brian D. Gerardot', 'Alessandro Fedrizzi']","We implement a decoy-state quantum key distribution scheme using a telecom C-band single- emitter source. The decoy states are created by varying the optical excitation of the quantum emitter to modulate the photon number distribution. We provide an analysis of our scheme based on existing security proofs, allowing the calculation of secret key rates including finite key effects. This enables us to demonstrate, with a realistic single-photon source, positive secret key rates using our scheme over 227 km of optical fiber, equivalent to a loss tolerance one order of magnitude greater than non-decoy schemes. This work broadens the scope of single-photon sources in future quantum networks by enabling long-distance QKD with realistic levels of single-photon purity.",2512.05101v1,quant-ph,2025-12-04 18:59:03+00:00,https://arxiv.org/pdf/2512.05101v1
Structured Document Translation via Format Reinforcement Learning,"['Haiyue Song', 'Johannes Eschbach-Dymanus', 'Hour Kaing', 'Sumire Honda', 'Hideki Tanaka', 'Bianka Buschbeck', 'Masao Utiyama']","Recent works on structured text translation remain limited to the sentence level, as they struggle to effectively handle the complex document-level XML or HTML structures. To address this, we propose \textbf{Format Reinforcement Learning (FormatRL)}, which employs Group Relative Policy Optimization on top of a supervised fine-tuning model to directly optimize novel structure-aware rewards: 1) TreeSim, which measures structural similarity between predicted and reference XML trees and 2) Node-chrF, which measures translation quality at the level of XML nodes. Additionally, we apply StrucAUC, a fine-grained metric distinguishing between minor errors and major structural failures. Experiments on the SAP software-documentation benchmark demonstrate improvements across six metrics and an analysis further shows how different reward functions contribute to improvements in both structural and translation quality.",2512.05100v1,cs.CL,2025-12-04 18:58:30+00:00,https://arxiv.org/pdf/2512.05100v1
SA-IQA: Redefining Image Quality Assessment for Spatial Aesthetics with Multi-Dimensional Rewards,"['Yuan Gao', 'Jin Song']","In recent years, Image Quality Assessment (IQA) for AI-generated images (AIGI) has advanced rapidly; however, existing methods primarily target portraits and artistic images, lacking a systematic evaluation of interior scenes. We introduce Spatial Aesthetics, a paradigm that assesses the aesthetic quality of interior images along four dimensions: layout, harmony, lighting, and distortion. We construct SA-BENCH, the first benchmark for spatial aesthetics, comprising 18,000 images and 50,000 precise annotations. Employing SA-BENCH, we systematically evaluate current IQA methodologies and develop SA-IQA, through MLLM fine-tuning and a multidimensional fusion approach, as a comprehensive reward framework for assessing spatial aesthetics. We apply SA-IQA to two downstream tasks: (1) serving as a reward signal integrated with GRPO reinforcement learning to optimize the AIGC generation pipeline, and (2) Best-of-N selection to filter high-quality images and improve generation quality. Experiments indicate that SA-IQA significantly outperforms existing methods on SA-BENCH, setting a new standard for spatial aesthetics evaluation. Code and dataset will be open-sourced to advance research and applications in this domain.",2512.05098v1,cs.CV,2025-12-04 18:58:18+00:00,https://arxiv.org/pdf/2512.05098v1
Pump Free Microwave-Optical Quantum Transduction,"['Fangxin Li', 'Jaesung Heo', 'Zhaoyou Wang', 'Andrew P. Higginbotham', 'Alexander A. High', 'Liang Jiang']","Distributed quantum computing involves superconducting computation nodes operating at microwave frequencies, which are connected by long-distance transmission lines that transmit photons at optical frequencies. Quantum transduction, which coherently converts between microwave and optical (M-O) photons, is a critical component of such an architecture. Current approaches are hindered by the unavoidable problem of device heating due to the optical pump. In this work, we propose a pump-free scheme based on color centers that generates time-bin encoded M-O Bell pairs. Our scheme first creates spin-photon entanglement and then converts the spin state into a time-bin-encoded microwave photon using a strongly coupled Purcell-enhanced resonator. In our protocol, the microwave retrieval is heralded by detecting the microwave signal with a three-level transmon. We have analyzed the resulting Bell state fidelity and generation probability of this protocol. Our simulation shows that by combining a state-of-the-art spin-optical interface with our proposed strongly-coupled spin-microwave design, the pump-free scheme can generate M-O Bell pairs at a heralding rate exceeding one kilohertz with near-unity fidelity, which establishes the scheme as a promising source for M-O Bell pairs.",2512.05096v1,quant-ph,2025-12-04 18:57:26+00:00,https://arxiv.org/pdf/2512.05096v1
From Generated Human Videos to Physically Plausible Robot Trajectories,"['James Ni', 'Zekai Wang', 'Wei Lin', 'Amir Bar', 'Yann LeCun', 'Trevor Darrell', 'Jitendra Malik', 'Roei Herzig']","Video generation models are rapidly improving in their ability to synthesize human actions in novel contexts, holding the potential to serve as high-level planners for contextual robot control. To realize this potential, a key research question remains open: how can a humanoid execute the human actions from generated videos in a zero-shot manner? This challenge arises because generated videos are often noisy and exhibit morphological distortions that make direct imitation difficult compared to real video. To address this, we introduce a two-stage pipeline. First, we lift video pixels into a 4D human representation and then retarget to the humanoid morphology. Second, we propose GenMimic-a physics-aware reinforcement learning policy conditioned on 3D keypoints, and trained with symmetry regularization and keypoint-weighted tracking rewards. As a result, GenMimic can mimic human actions from noisy, generated videos. We curate GenMimicBench, a synthetic human-motion dataset generated using two video generation models across a spectrum of actions and contexts, establishing a benchmark for assessing zero-shot generalization and policy robustness. Extensive experiments demonstrate improvements over strong baselines in simulation and confirm coherent, physically stable motion tracking on a Unitree G1 humanoid robot without fine-tuning. This work offers a promising path to realizing the potential of video generation models as high-level policies for robot control.",2512.05094v1,cs.RO,2025-12-04 18:56:03+00:00,https://arxiv.org/pdf/2512.05094v1
Foundations of Diffusion Models in General State Spaces: A Self-Contained Introduction,"['Vincent Pauline', 'Tobias Höppe', 'Kirill Neklyudov', 'Alexander Tong', 'Stefan Bauer', 'Andrea Dittadi']","Although diffusion models now occupy a central place in generative modeling, introductory treatments commonly assume Euclidean data and seldom clarify their connection to discrete-state analogues. This article is a self-contained primer on diffusion over general state spaces, unifying continuous domains and discrete/categorical structures under one lens. We develop the discrete-time view (forward noising via Markov kernels and learned reverse dynamics) alongside its continuous-time limits -- stochastic differential equations (SDEs) in $\mathbb{R}^d$ and continuous-time Markov chains (CTMCs) on finite alphabets -- and derive the associated Fokker--Planck and master equations. A common variational treatment yields the ELBO that underpins standard training losses. We make explicit how forward corruption choices -- Gaussian processes in continuous spaces and structured categorical transition kernels (uniform, masking/absorbing and more) in discrete spaces -- shape reverse dynamics and the ELBO. The presentation is layered for three audiences: newcomers seeking a self-contained intuitive introduction; diffusion practitioners wanting a global theoretical synthesis; and continuous-diffusion experts looking for an analogy-first path into discrete diffusion. The result is a unified roadmap to modern diffusion methodology across continuous domains and discrete sequences, highlighting a compact set of reusable proofs, identities, and core theoretical principles.",2512.05092v1,stat.ML,2025-12-04 18:55:36+00:00,https://arxiv.org/pdf/2512.05092v1
The Geometry of Intelligence: Deterministic Functional Topology as a Foundation for Real-World Perception,['Eduardo Di Santi'],"Real-world physical processes do not generate arbitrary variability: their signals concentrate on compact and low-variability subsets of functional space. This geometric structure enables rapid generalization from a few examples in both biological and artificial systems.
  This work develops a deterministic functional-topological framework in which the set of valid realizations of a physical phenomenon forms a compact perceptual manifold with stable invariants and a finite Hausdorff radius. We show that the boundaries of this manifold can be discovered in a fully self-supervised manner through Monte Carlo sampling, even when the governing equations of the system are unknown.
  We provide theoretical guarantees, practical estimators of knowledge boundaries, and empirical validations across three domains: electromechanical railway point machines, electrochemical battery discharge curves, and physiological ECG signals.
  Our results demonstrate that deterministic functional topology offers a unified mathematical foundation for perception, representation, and world-model construction, explaining why biological learners and self-supervised AI models can generalize from limited observations.",2512.05089v1,cs.LG,2025-12-04 18:54:07+00:00,https://arxiv.org/pdf/2512.05089v1
Multimode RF Reflectometry for Spin Qubit Readout and Device Characterization,"['Joffrey Rivard', 'Alexis Morel', 'Olivier Romain', 'El Bachir Ndiaye', 'Idris Aboubakari', 'Christian Lupien', 'Clément Godfrin', 'Julien Jussot', 'Stefan Kubicek', 'Kristiaan De Greve', 'Danny Wan', 'Claude Rohrbacher', 'Eva Dupont-Ferrier']","We introduce a multimode superconducting inductor architecture that enables radio-frequency reflectometry at multiple discrete frequencies up to 2 GHz, addressing limitations of conventional single-mode designs. The spiral inductor's distributed inter-turn capacitance yields distinct resonant modes with varied impedance-matching conditions. By probing a quantum dot across several modes, we extract tunneling rates over a broad frequency range and identify signatures of nearby charge defects. Using one of the higher-order modes, we demonstrate single-shot spin readout via a radio-frequency single-electron transistor (RF-SET), achieving singlet-triplet readout with an integration time of 8 us and a readout fidelity of 98%. These results establish multimode inductance as a scalable and flexible component for fast spin-qubit readout and device-quality characterization.",2512.05087v1,cond-mat.mes-hall,2025-12-04 18:53:13+00:00,https://arxiv.org/pdf/2512.05087v1
Gradient Descent with Provably Tuned Learning-rate Schedules,['Dravyansh Sharma'],"Gradient-based iterative optimization methods are the workhorse of modern machine learning. They crucially rely on careful tuning of parameters like learning rate and momentum. However, one typically sets them using heuristic approaches without formal near-optimality guarantees. Recent work by Gupta and Roughgarden studies how to learn a good step-size in gradient descent. However, like most of the literature with theoretical guarantees for gradient-based optimization, their results rely on strong assumptions on the function class including convexity and smoothness which do not hold in typical applications. In this work, we develop novel analytical tools for provably tuning hyperparameters in gradient-based algorithms that apply to non-convex and non-smooth functions. We obtain matching sample complexity bounds for learning the step-size in gradient descent shown for smooth, convex functions in prior work (up to logarithmic factors) but for a much broader class of functions. Our analysis applies to gradient descent on neural networks with commonly used activation functions (including ReLU, sigmoid and tanh). We extend our framework to tuning multiple hyperparameters, including tuning the learning rate schedule, simultaneously tuning momentum and step-size, and pre-training the initialization vector. Our approach can be used to bound the sample complexity for minimizing both the validation loss as well as the number of gradient descent iterations.",2512.05084v1,cs.LG,2025-12-04 18:49:58+00:00,https://arxiv.org/pdf/2512.05084v1
OMTRA: A Multi-Task Generative Model for Structure-Based Drug Design,"['Ian Dunn', 'Liv Toft', 'Tyler Katz', 'Juhi Gupta', 'Riya Shah', 'Ramith Hettiarachchi', 'David R. Koes']","Structure-based drug design (SBDD) focuses on designing small-molecule ligands that bind to specific protein pockets. Computational methods are integral in modern SBDD workflows and often make use of virtual screening methods via docking or pharmacophore search. Modern generative modeling approaches have focused on improving novel ligand discovery by enabling de novo design. In this work, we recognize that these tasks share a common structure and can therefore be represented as different instantiations of a consistent generative modeling framework. We propose a unified approach in OMTRA, a multi-modal flow matching model that flexibly performs many tasks relevant to SBDD, including some with no analogue in conventional workflows. Additionally, we curate a dataset of 500M 3D molecular conformers, complementing protein-ligand data and expanding the chemical diversity available for training. OMTRA obtains state of the art performance on pocket-conditioned de novo design and docking; however, the effects of large-scale pretraining and multi-task training are modest. All code, trained models, and dataset for reproducing this work are available at https://github.com/gnina/OMTRA",2512.05080v1,cs.LG,2025-12-04 18:46:35+00:00,https://arxiv.org/pdf/2512.05080v1
Object Reconstruction under Occlusion with Generative Priors and Contact-induced Constraints,"['Minghan Zhu', 'Zhiyi Wang', 'Qihang Sun', 'Maani Ghaffari', 'Michael Posa']","Object geometry is key information for robot manipulation. Yet, object reconstruction is a challenging task because cameras only capture partial observations of objects, especially when occlusion occurs. In this paper, we leverage two extra sources of information to reduce the ambiguity of vision signals. First, generative models learn priors of the shapes of commonly seen objects, allowing us to make reasonable guesses of the unseen part of geometry. Second, contact information, which can be obtained from videos and physical interactions, provides sparse constraints on the boundary of the geometry. We combine the two sources of information through contact-guided 3D generation. The guidance formulation is inspired by drag-based editing in generative models. Experiments on synthetic and real-world data show that our approach improves the reconstruction compared to pure 3D generation and contact-based optimization.",2512.05079v1,cs.CV,2025-12-04 18:45:14+00:00,https://arxiv.org/pdf/2512.05079v1
Thermodynamic universality across dissipative quantum phase transitions,"['Laetitia P. Bettmann', 'Artur M. Lacerda', 'Mark T. Mitchison', 'John Goold']","We study finite-time driving across second-order dissipative quantum phase transitions described by Lindblad dynamics. We show that the nonadiabatic entropy production, which quantifies deviations from the instantaneous nonequilibrium steady state, exhibits universal power-law scaling with the ramp duration in analogy to the Kibble-Zurek mechanism for closed systems. This establishes the universality of irreversible dissipation induced by driving an open quantum system near criticality. Furthermore, in systems described by bosonic Gaussian states, our scaling laws predict that the nonadiabatic entropy production is independent of driving speed to leading order, revealing a distinctive feature of Gaussian dissipative quantum phase transitions. We validate these analytical predictions in the thermodynamic limit of the driven-dissipative Dicke model and via finite-size scaling in the open Kerr model. Our results establish a general framework for understanding universal nonequilibrium response and thermodynamic irreversibility in critical open quantum systems.",2512.05074v1,quant-ph,2025-12-04 18:38:28+00:00,https://arxiv.org/pdf/2512.05074v1
David vs. Goliath: Can Small Models Win Big with Agentic AI in Hardware Design?,"['Shashwat Shankar', 'Subhranshu Pandey', 'Innocent Dengkhw Mochahari', 'Bhabesh Mali', 'Animesh Basak Chowdhury', 'Sukanta Bhattacharjee', 'Chandan Karfa']","Large Language Model(LLM) inference demands massive compute and energy, making domain-specific tasks expensive and unsustainable. As foundation models keep scaling, we ask: Is bigger always better for hardware design? Our work tests this by evaluating Small Language Models coupled with a curated agentic AI framework on NVIDIA's Comprehensive Verilog Design Problems(CVDP) benchmark. Results show that agentic workflows: through task decomposition, iterative feedback, and correction - not only unlock near-LLM performance at a fraction of the cost but also create learning opportunities for agents, paving the way for efficient, adaptive solutions in complex design tasks.",2512.05073v1,cs.LG,2025-12-04 18:37:29+00:00,https://arxiv.org/pdf/2512.05073v1
Control Consistency Losses for Diffusion Bridges,"['Samuel Howard', 'Nikolas Nüsken', 'Jakiw Pidstrigach']","Simulating the conditioned dynamics of diffusion processes, given their initial and terminal states, is an important but challenging problem in the sciences. The difficulty is particularly pronounced for rare events, for which the unconditioned dynamics rarely reach the terminal state. In this work, we leverage a self-consistency property of the conditioned dynamics to learn the diffusion bridge in an iterative online manner, and demonstrate promising empirical results in a range of settings.",2512.05070v1,stat.ML,2025-12-04 18:31:39+00:00,https://arxiv.org/pdf/2512.05070v1
