title,authors,abstract,arxiv_id,category,date,pdf_url,query_used
On Quantum BSDE Solver for High-Dimensional Parabolic PDEs,"['Howard Su', 'Huan-Hsin Tseng']","We propose a quantum machine learning framework for approximating solutions to high-dimensional parabolic partial differential equations (PDEs) that can be reformulated as backward stochastic differential equations (BSDEs). In contrast to popular quantum-classical network hybrid approaches, this study employs the pure Variational Quantum Circuit (VQC) as the core solver without trainable classical neural networks. The quantum BSDE solver performs pathwise approximation via temporal discretization and Monte Carlo simulation, framed as model-based reinforcement learning. We benchmark VQCbased and classical deep neural network (DNN) solvers on two canonical PDEs as representatives: the Black-Scholes and nonlinear Hamilton-Jacobi-Bellman (HJB) equations. The VQC achieves lower variance and improved accuracy in most cases, particularly in highly nonlinear regimes and for out-of-themoney options, demonstrating greater robustness than DNNs. These results, obtained via quantum circuit simulation, highlight the potential of VQCs as scalable and stable solvers for highdimensional stochastic control problems.",2506.14612v2,q-fin.MF,2025-06-17 15:10:42+00:00,https://arxiv.org/pdf/2506.14612v2,"""quantum neural network"" AND ""partial differential equation"""
Energy-Embedded Neural Solvers for One-Dimensional Quantum Systems,"['Yi-Qiang Wu', 'Xuan Liu', 'Hanlin Li', 'Fuqiang Wang']","Physics-informed neural networks (PINN) have been widely used in computational physics to solve partial differential equations (PDEs). In this study, we propose an energy-embedding-based physics-informed neural network method for solving the one-dimensional time-independent Schrödinger equation to obtain ground- and excited-state wave functions, as well as energy eigenvalues by incorporating an embedding layer to generate process-driven data. The method demonstrates high accuracy for several well-known potentials, such as the infinite potential well, harmonic oscillator potential, Woods-Saxon potential, and double-well potential. Further validation shows that the method also performs well in solving the radial Coulomb potential equation, showcasing its adaptability and extensibility. The proposed approach can be extended to solve other partial differential equations beyond the Schrödinger equation and holds promise for applications in high-dimensional quantum systems.",2505.24194v1,physics.comp-ph,2025-05-30 04:13:26+00:00,https://arxiv.org/pdf/2505.24194v1,"""quantum neural network"" AND ""partial differential equation"""
Fast and Flexible Quantum-Inspired Differential Equation Solvers with Data Integration,"['Lucas Arenstein', 'Martin Mikkelsen', 'Michael Kastoryano']","Accurately solving high-dimensional partial differential equations (PDEs) remains a central challenge in computational mathematics. Traditional numerical methods, while effective in low-dimensional settings or on coarse grids, often struggle to deliver the precision required in practical applications. Recent machine learning-based approaches offer flexibility but frequently fall short in terms of accuracy and reliability, particularly in industrial contexts. In this work, we explore a quantum-inspired method based on quantized tensor trains (QTT), enabling efficient and accurate solutions to PDEs in a variety of challenging scenarios. Through several representative examples, we demonstrate that the QTT approach can achieve logarithmic scaling in both memory and computational cost for linear and nonlinear PDEs. Additionally, we introduce a novel technique for data-driven learning within the quantum-inspired framework, combining the adaptability of neural networks with enhanced accuracy and reduced training time.",2505.17046v1,math.NA,2025-05-15 12:38:47+00:00,https://arxiv.org/pdf/2505.17046v1,"""quantum neural network"" AND ""partial differential equation"""
Multi-stream Physics Hybrid Networks for solving Navier-Stokes equations,"['Tatjana Protasevich', 'Mikhail Surmach', 'Aleksandr Sedykh', 'Olga Tsurkan', 'Matvei Anoshin', 'Vadim Lopatkin', 'Leonid Fedichkin']","Understanding and solving fluid dynamics equations efficiently remains a fundamental challenge in computational physics. Traditional numerical solvers and physics-informed neural networks struggle to capture the full range of frequency components in partial differential equation solutions, limiting their accuracy and efficiency. Here, we propose the Multi-stream Physics Hybrid Network, a novel neural architecture that integrates quantum and classical layers in parallel to improve the accuracy of solving fluid dynamics equations, namely Kovasznay flow problem. This approach decomposes the solution into separate frequency components, each predicted by independent Parallel Hybrid Networks, simplifying the training process and enhancing performance. We evaluated the proposed model against a comparable classical neural network, the Multi-stream Physics Classical Network, in both data-driven and physics-driven scenarios. Our results show that the Multi-stream Physics Hybrid Network achieves a reduction in root mean square error by 36% for velocity components and 41% for pressure prediction compared to the classical model, while using 24% fewer trainable parameters. These findings highlight the potential of hybrid quantum-classical architectures for advancing computational fluid dynamics.",2504.01891v1,physics.flu-dyn,2025-04-02 16:50:54+00:00,https://arxiv.org/pdf/2504.01891v1,"""quantum neural network"" AND ""partial differential equation"""
Perturbation Analysis and Neural Network-Based Initial Condition Estimation for the Sine-Gordon Equation,"['Junhong Ha', 'Sudeok Shon']","The sine-Gordon equation is a fundamental nonlinear partial differential equation that governs soliton dynamics and phase evolution in a variety of physical systems, including Josephson junctions and superconducting circuits. In this study, we analyze the effects of external perturbations such as damping and driving forces on the stability of soliton solutions. Using a rigorous Hilbert space framework, we establish well-posedness and derive regularity results for the perturbed equation. In particular, we provide sufficient conditions for the boundedness of the perturbation function, which plays a crucial role in determining the persistence of the soliton structure. Furthermore, we propose a neural network-based approach for solving the inverse problem of estimating unknown initial conditions. By training a data-driven model on simulated PDE solutions, we demonstrate that the network can accurately recover the initial states from limited or noisy observations. Numerical simulations validate the theoretical results and highlight the potential of combining mathematical analysis with machine learning techniques to study nonlinear wave phenomena. This approach offers valuable insights into soliton behavior and has potential applications in the design of quantum computing systems based on Josephson junctions.",2504.00386v1,math.AP,2025-04-01 03:08:22+00:00,https://arxiv.org/pdf/2504.00386v1,"""quantum neural network"" AND ""partial differential equation"""
QCPINN: Quantum-Classical Physics-Informed Neural Networks for Solving PDEs,"['Afrah Farea', 'Saiful Khan', 'Mustafa Serdar Celebi']","Physics-informed neural networks (PINNs) have emerged as promising methods for solving partial differential equations (PDEs) by embedding physical laws within neural architectures. However, these classical approaches often require a large number of parameters to achieve reasonable accuracy, particularly for complex PDEs. In this paper, we present a quantum-classical physics-informed neural network (QCPINN) that combines quantum and classical components, allowing us to solve PDEs with significantly fewer parameters while maintaining comparable accuracy and convergence to classical PINNs. We systematically evaluated two quantum circuit architectures across various configurations on five benchmark PDEs to identify optimal QCPINN designs. Our results demonstrate that the QCPINN achieves stable convergence and comparable accuracy while using only 10-30% of the trainable parameters required by classical PINNs. This approach also results in a significant reduction in the relative L_2 error for Helmholtz, Klein-Gordon, and Convection-diffusion equations, with a reduction ranging from 4% to 64% across various fields. These findings demonstrate the potential of parameter efficiency and solution accuracy in physics-informed machine learning, allowing for a substantial decrease in model complexity without compromising solution quality.QCPINN presents a promising pathway to address the computational challenges associated with solving PDEs.",2503.16678v6,quant-ph,2025-03-20 19:52:26+00:00,https://arxiv.org/pdf/2503.16678v6,"""quantum neural network"" AND ""partial differential equation"""
Quantum physics informed neural networks for multi-variable partial differential equations,"['Giorgio Panichi', 'Sebastiano Corli', 'Enrico Prati']","Quantum Physics-Informed Neural Networks (QPINNs) integrate quantum computing and machine learning to impose physical biases on the output of a quantum neural network, aiming to either solve or discover differential equations. The approach has recently been implemented on both the gate model and continuous variable quantum computing architecture, where it has been demonstrated capable of solving ordinary differential equations. Here, we aim to extend the method to effectively address a wider range of equations, such as the Poisson equation and the heat equation. To achieve this goal, we introduce an architecture specifically designed to compute second-order (and higher-order) derivatives without relying on nested automatic differentiation methods. This approach mitigates the unwanted side effects associated with nested gradients in simulations, paving the way for more efficient and accurate implementations. By leveraging such an approach, the quantum circuit addresses partial differential equations, a challenge not yet tackled using this approach on continuous-variable quantum computers. As a proof-of-concept, we solve a one-dimensional instance of the heat equation, demonstrating its effectiveness in handling PDEs, both in an ideal and a noisy regime. We report our experiment on a photonic hardware to address a realistic noise scenario for our simulations. Such a framework paves the way for further developments in continuous-variable quantum computing and underscores its potential contributions to advancing quantum machine learning.",2503.12244v2,quant-ph,2025-03-15 19:55:33+00:00,https://arxiv.org/pdf/2503.12244v2,"""quantum neural network"" AND ""partial differential equation"""
Quantum Recurrent Neural Networks with Encoder-Decoder for Time-Dependent Partial Differential Equations,"['Yuan Chen', 'Abdul Khaliq', 'Khaled M. Furati']","Nonlinear time-dependent partial differential equations are essential in modeling complex phenomena across diverse fields, yet they pose significant challenges due to their computational complexity, especially in higher dimensions. This study explores Quantum Recurrent Neural Networks within an encoder-decoder framework, integrating Variational Quantum Circuits into Gated Recurrent Units and Long Short-Term Memory networks. Using this architecture, the model efficiently compresses high-dimensional spatiotemporal data into a compact latent space, facilitating more efficient temporal evolution. We evaluate the algorithms on the Hamilton-Jacobi-Bellman equation, Burgers' equation, the Gray-Scott reaction-diffusion system, and the three dimensional Michaelis-Menten reaction-diffusion equation. The results demonstrate the superior performance of the quantum-based algorithms in capturing nonlinear dynamics, handling high-dimensional spaces, and providing stable solutions, highlighting their potential as an innovative tool in solving challenging and complex systems.",2502.13370v1,cs.LG,2025-02-19 02:09:43+00:00,https://arxiv.org/pdf/2502.13370v1,"""quantum neural network"" AND ""partial differential equation"""
Lower Bound on the Representation Complexity of Antisymmetric Tensor Product Functions,"['Yuyang Wang', 'Yukuan Hu', 'Xin Liu']","Tensor product function (TPF) approximations have been widely adopted in solving high-dimensional problems, such as partial differential equations and eigenvalue problems, achieving desirable accuracy with computational overhead that scales linearly with problem dimensions. However, recent studies have underscored the extraordinarily high computational cost of TPFs on quantum many-body problems, even for systems with as few as three particles. A key distinction in these problems is the antisymmetry requirement on the unknown functions. In the present work, we rigorously establish that the minimum number of involved terms for a class of TPFs to be exactly antisymmetric increases exponentially fast with the problem dimension. This class encompasses both traditionally discretized TPFs and the recent ones parameterized by neural networks. Our proof exploits the link between the antisymmetric TPFs in this class and the corresponding antisymmetric tensors and focuses on the Canonical Polyadic rank of the latter. As a result, our findings reveal that low-rank TPFs are fundamentally unsuitable for high-dimensional problems where antisymmetry is essential.",2501.05958v3,math.NA,2025-01-10 13:37:32+00:00,https://arxiv.org/pdf/2501.05958v3,"""quantum neural network"" AND ""partial differential equation"""
Computing ground states of Bose-Einstein condensation by normalized deep neural network,"['Weizhu Bao', 'Zhipeng Chang', 'Xiaofei Zhao']","We propose a normalized deep neural network (norm-DNN) for computing ground states of Bose-Einstein condensation (BEC) via the minimization of the Gross-Pitaevskii energy functional under unitary mass normalization. Compared with the traditional deep neural network for solving partial differential equations, two additional layers are added in training our norm-DNN for solving this kind of unitary constraint minimization problems: (i) a normalization layer is introduced to enforce the unitary mass normalization, and (ii) a shift layer is added to guide the training to non-negative ground state. The proposed norm-DNN gives rise to an efficient unsupervised approach for learning ground states of BEC. Systematical investigations are first carried out through extensive numerical experiments for computing ground states of BEC in one dimension. Extensions to high dimensions and multi-component are then studied in details. The results demonstrate the effectiveness and efficiency of norm-DNN for learning ground states of BEC. Finally, we extend the norm-DNN for computing the first excited states of BEC and discuss parameter generalization issues as well as compare with some existing machine learning methods for computing ground states of BEC in the literature.",2410.05319v1,cond-mat.quant-gas,2024-10-05 05:48:42+00:00,https://arxiv.org/pdf/2410.05319v1,"""quantum neural network"" AND ""partial differential equation"""
Quantum DeepONet: Neural operators accelerated by quantum computing,"['Pengpeng Xiao', 'Muqing Zheng', 'Anran Jiao', 'Xiu Yang', 'Lu Lu']","In the realm of computational science and engineering, constructing models that reflect real-world phenomena requires solving partial differential equations (PDEs) with different conditions. Recent advancements in neural operators, such as deep operator network (DeepONet), which learn mappings between infinite-dimensional function spaces, promise efficient computation of PDE solutions for a new condition in a single forward pass. However, classical DeepONet entails quadratic complexity concerning input dimensions during evaluation. Given the progress in quantum algorithms and hardware, here we propose to utilize quantum computing to accelerate DeepONet evaluations, yielding complexity that is linear in input dimensions. Our proposed quantum DeepONet integrates unary encoding and orthogonal quantum layers. We benchmark our quantum DeepONet using a variety of PDEs, including the antiderivative operator, advection equation, and Burgers' equation. We demonstrate the method's efficacy in both ideal and noisy conditions. Furthermore, we show that our quantum DeepONet can also be informed by physics, minimizing its reliance on extensive data collection. Quantum DeepONet will be particularly advantageous in applications in outer loop problems which require exploring parameter space and solving the corresponding PDEs, such as uncertainty quantification and optimal experimental design.",2409.15683v2,quant-ph,2024-09-24 02:53:42+00:00,https://arxiv.org/pdf/2409.15683v2,"""quantum neural network"" AND ""partial differential equation"""
Fourier Neural Operators for Learning Dynamics in Quantum Spin Systems,"['Freya Shah', 'Taylor L. Patti', 'Julius Berner', 'Bahareh Tolooshams', 'Jean Kossaifi', 'Anima Anandkumar']","Fourier Neural Operators (FNOs) excel on tasks using functional data, such as those originating from partial differential equations. Such characteristics render them an effective approach for simulating the time evolution of quantum wavefunctions, which is a computationally challenging, yet coveted task for understanding quantum systems. In this manuscript, we use FNOs to model the evolution of random quantum spin systems, so chosen due to their representative quantum dynamics and minimal symmetry. We explore two distinct FNO architectures and examine their performance for learning and predicting time evolution using both random and low-energy input states. Additionally, we apply FNOs to a compact set of Hamiltonian observables ($\sim\text{poly}(n)$) instead of the entire $2^n$ quantum wavefunction, which greatly reduces the size of our inputs and outputs and, consequently, the requisite dimensions of the resulting FNOs. Moreover, this Hamiltonian observable-based method demonstrates that FNOs can effectively distill information from high-dimensional spaces into lower-dimensional spaces. The extrapolation of Hamiltonian observables to times later than those used in training is of particular interest, as this stands to fundamentally increase the simulatability of quantum systems past both the coherence times of contemporary quantum architectures and the circuit-depths of tractable tensor networks.",2409.03302v1,quant-ph,2024-09-05 07:18:09+00:00,https://arxiv.org/pdf/2409.03302v1,"""quantum neural network"" AND ""partial differential equation"""
Estimating Inverse Scattering Potentials for n-p System Using Variational Monte Carlo & Neural Networks,"['Anil Khachi', 'Gabor Balassa']","The Riccati-type nonlinear differential equation, also known as the Variable Phase Approach or Phase Function Method, is used to construct local inverse potentials for the \( ^3S_1 \) and \( ^1S_0 \) states of the deuteron. The Morse potential has been optimized by adjusting parameters using the Variational Monte Carlo (VMC) and Multilayer Perceptron (MLP) type Neural Networks (NN). The inverse potentials obtained from VMC and NN show almost identical parameters. In VMC, all three parameters of the Morse potential are varied to obtain the phase shifts, while in NN, the 3D-parameter optimization problem is converted to a 1D-parameter optimization problem, thus reducing optimization parameters, time, and computational cost.
  Recently, the GRANADA group published a comprehensive partial wave analysis of scattering data, which includes 6713 \( np \) phase shift data points from 1950 to 2013. Using the final experimental data points from GRANADA, we obtained the parameters for the Morse potential by minimizing the mean square error (MSE) as the cost function. The MSE using VMC (NN) is found to be 0.65 (2.5) for the \( ^1S_0 \) state and 0.16 (0.22) for the \( ^3S_1 \) state. Various quantum functions, such as phase \( δ(r) \), amplitude \( A(r) \), and wave function \( u(r) \), are described up to 5 fm with energies \( E_{\ell ab} = [1-350 \text{ MeV}] \).",2407.02137v2,nucl-th,2024-07-02 10:31:34+00:00,https://arxiv.org/pdf/2407.02137v2,"""quantum neural network"" AND ""partial differential equation"""
