title,arxiv_id,category,date,cluster,abstract_clean
On Quantum BSDE Solver for High-Dimensional Parabolic PDEs,2506.14612v2,q-fin.MF,2025-06-17 15:10:42+00:00,4,framework approximating highdimensional parabolic pdes reformulated backward stochastic bsdes contrast popular quantumclassical hybrid approaches employs pure variational circuit vqc core solver without trainable networks bsde solver performs pathwise approximation via temporal discretization monte carlo simulation framed modelbased reinforcement learning benchmark vqcbased dnn solvers canonical pdes representatives blackscholes nonlinear hamiltonjacobibellman hjb equations vqc achieves lower variance improved cases particularly highly nonlinear regimes outofthemoney options demonstrating greater robustness dnns results obtained via circuit simulation highlight potential vqcs scalable stable solvers highdimensional stochastic control problems
Energy-Embedded Neural Solvers for One-Dimensional Quantum Systems,2505.24194v1,physics.comp-ph,2025-05-30 04:13:26+00:00,4,physicsinformed pinn widely physics solve pdes study energyembeddingbased physicsinformed solving onedimensional timeindependent schrodinger obtain ground excitedstate wave functions well energy eigenvalues incorporating embedding layer generate processdriven data demonstrates high several wellknown potentials infinite potential well harmonic oscillator potential woodssaxon potential doublewell potential validation performs well solving radial coulomb potential equation showcasing adaptability extensibility extended solve beyond schrodinger holds promise applications highdimensional systems
Fast and Flexible Quantum-Inspired Differential Equation Solvers with Data Integration,2505.17046v1,math.NA,2025-05-15 12:38:47+00:00,4,accurately solving highdimensional pdes remains central challenge mathematics traditional methods effective lowdimensional settings coarse grids often struggle deliver precision required practical applications recent learningbased approaches offer flexibility frequently fall short terms reliability particularly industrial contexts work explore quantuminspired quantized tensor trains qtt enabling accurate pdes variety challenging scenarios several representative examples qtt achieve logarithmic scaling memory cost linear nonlinear pdes additionally technique datadriven within quantuminspired framework combining adaptability enhanced reduced time
Multi-stream Physics Hybrid Networks for solving Navier-Stokes equations,2504.01891v1,physics.flu-dyn,2025-04-02 16:50:54+00:00,1,understanding solving fluid dynamics efficiently remains fundamental challenge physics traditional solvers physicsinformed struggle capture full range frequency components solutions limiting efficiency here multistream physics hybrid network architecture integrates layers parallel improve solving fluid dynamics equations namely kovasznay flow problem decomposes separate frequency components predicted independent parallel hybrid networks simplifying process enhancing performance evaluated comparable network multistream physics network datadriven physicsdriven scenarios multistream physics hybrid achieves reduction root mean square error velocity components pressure prediction compared model fewer trainable parameters findings highlight potential hybrid quantumclassical architectures advancing fluid dynamics
Perturbation Analysis and Neural Network-Based Initial Condition Estimation for the Sine-Gordon Equation,2504.00386v1,math.AP,2025-04-01 03:08:22+00:00,7,sinegordon fundamental nonlinear governs soliton dynamics phase evolution variety physical systems including josephson junctions superconducting circuits study analyze effects external perturbations damping driving forces stability soliton solutions rigorous hilbert space framework establish wellposedness derive regularity perturbed equation particular sufficient conditions boundedness perturbation function plays crucial role determining persistence soliton structure furthermore networkbased solving inverse estimating unknown initial conditions datadriven simulated pde solutions accurately recover initial states limited noisy observations simulations validate theoretical highlight potential combining mathematical analysis techniques nonlinear wave phenomena offers valuable insights soliton behavior potential applications design computing josephson junctions
QCPINN: Quantum-Classical Physics-Informed Neural Networks for Solving PDEs,2503.16678v6,quant-ph,2025-03-20 19:52:26+00:00,1,physicsinformed pinns emerged promising solving pdes embedding physical laws within architectures however approaches often require large number parameters achieve reasonable accuracy particularly complex pdes paper present quantumclassical physicsinformed qcpinn combines components allowing us solve pdes significantly fewer parameters maintaining comparable convergence pinns systematically evaluated circuit architectures across various configurations five benchmark pdes identify optimal qcpinn designs qcpinn achieves stable convergence comparable trainable parameters required pinns significant reduction relative l error helmholtz kleingordon convectiondiffusion equations reduction ranging across various fields findings potential parameter efficiency physicsinformed learning allowing substantial decrease complexity without compromising qualityqcpinn promising pathway address challenges associated solving pdes
Quantum physics informed neural networks for multi-variable partial differential equations,2503.12244v2,quant-ph,2025-03-15 19:55:33+00:00,1,physicsinformed qpinns integrate computing impose physical biases output network aiming either solve discover equations recently implemented gate continuous variable computing architecture capable solving ordinary equations here aim extend effectively address wider range equations poisson heat equation achieve goal architecture specifically designed compute secondorder and higherorder derivatives without relying nested automatic differentiation methods mitigates unwanted side effects associated nested gradients simulations paving way accurate implementations leveraging approach circuit addresses equations challenge yet tackled continuousvariable computers proofofconcept solve onedimensional instance heat equation demonstrating effectiveness handling pdes ideal noisy regime report experiment photonic hardware address realistic noise scenario simulations framework paves way developments continuousvariable computing underscores potential contributions advancing learning
Quantum Recurrent Neural Networks with Encoder-Decoder for Time-Dependent Partial Differential Equations,2502.13370v1,cs.LG,2025-02-19 02:09:43+00:00,4,nonlinear timedependent essential modeling complex phenomena across diverse fields yet pose significant challenges due complexity especially higher dimensions explores recurrent within encoderdecoder framework integrating variational circuits gated recurrent units long shortterm memory networks architecture efficiently compresses highdimensional spatiotemporal compact latent space facilitating temporal evolution evaluate hamiltonjacobibellman equation burgers equation grayscott reactiondiffusion system dimensional michaelismenten reactiondiffusion equation superior quantumbased capturing nonlinear dynamics handling highdimensional spaces providing stable solutions highlighting potential innovative tool solving challenging complex systems
Lower Bound on the Representation Complexity of Antisymmetric Tensor Product Functions,2501.05958v3,math.NA,2025-01-10 13:37:32+00:00,4,tensor product tpf approximations widely adopted solving highdimensional problems eigenvalue problems achieving desirable overhead scales linearly dimensions however recent studies underscored extraordinarily high cost tpfs manybody problems even particles key distinction antisymmetry requirement unknown functions present work rigorously establish minimum number involved terms class tpfs exactly antisymmetric increases exponentially fast dimension class encompasses traditionally discretized tpfs recent ones parameterized networks proof exploits link antisymmetric tpfs class corresponding antisymmetric tensors focuses canonical polyadic rank latter result findings reveal lowrank tpfs fundamentally unsuitable highdimensional antisymmetry essential
Computing ground states of Bose-Einstein condensation by normalized deep neural network,2410.05319v1,cond-mat.quant-gas,2024-10-05 05:48:42+00:00,4,normalized normdnn computing ground states boseeinstein condensation bec via minimization grosspitaevskii energy functional unitary mass normalization compared traditional solving equations additional layers added normdnn solving kind unitary constraint minimization problems i normalization layer introduced enforce unitary mass normalization ii shift layer added guide nonnegative ground state normdnn gives rise unsupervised ground states bec systematical investigations carried extensive experiments computing ground states bec dimension extensions high dimensions multicomponent studied details effectiveness efficiency normdnn ground states bec finally extend normdnn computing excited states bec discuss parameter generalization issues well compare existing computing ground states bec literature
Quantum DeepONet: Neural operators accelerated by quantum computing,2409.15683v2,quant-ph,2024-09-24 02:53:42+00:00,7,realm science engineering constructing reflect realworld phenomena requires solving pdes different conditions recent advancements operators operator deeponet learn mappings infinitedimensional spaces promise computation pde condition single forward pass however deeponet entails quadratic complexity concerning input dimensions evaluation given progress hardware utilize computing accelerate deeponet evaluations yielding complexity linear input dimensions deeponet integrates unary encoding orthogonal layers benchmark deeponet variety pdes including antiderivative operator advection equation burgers equation methods efficacy ideal noisy conditions furthermore deeponet informed physics minimizing reliance extensive collection deeponet particularly advantageous applications outer loop require exploring parameter space solving corresponding pdes uncertainty quantification optimal experimental design
Fourier Neural Operators for Learning Dynamics in Quantum Spin Systems,2409.03302v1,quant-ph,2024-09-05 07:18:09+00:00,4,fourier operators fnos excel tasks functional data originating equations characteristics render effective simulating time evolution wavefunctions computationally challenging yet coveted task understanding systems manuscript fnos evolution random spin systems chosen due representative dynamics minimal symmetry explore distinct fno architectures examine predicting time evolution random lowenergy input states additionally fnos compact set hamiltonian observables simtextpolyn instead entire n wavefunction greatly reduces size inputs outputs and consequently requisite dimensions resulting fnos moreover hamiltonian observablebased demonstrates fnos effectively distill information highdimensional spaces lowerdimensional spaces extrapolation hamiltonian observables times later particular interest stands fundamentally increase simulatability past coherence times contemporary architectures circuitdepths tractable tensor networks
Estimating Inverse Scattering Potentials for n-p System Using Variational Monte Carlo & Neural Networks,2407.02137v2,nucl-th,2024-07-02 10:31:34+00:00,8,riccatitype nonlinear equation known variable phase phase method construct local inverse potentials s s states deuteron morse potential optimized adjusting parameters variational monte carlo vmc multilayer perceptron mlp type nn inverse potentials obtained vmc nn almost identical parameters vmc parameters morse potential varied obtain phase shifts nn dparameter optimization converted dparameter optimization problem reducing optimization parameters time cost recently granada group published comprehensive wave analysis scattering data includes np phase shift points final experimental points granada obtained parameters morse potential minimizing mean square error mse cost function mse vmc nn found s state s state various functions phase dr amplitude ar wave ur described fm energies eell ab text mev
Hermite Neural Network Simulation for Solving the 2D Schrodinger Equation,2402.10649v1,math.NA,2024-02-16 12:51:25+00:00,4,schrodinger mathematical describing wave functions behavior quantummechanical system provides valuable insights fundamental principles mechanics paper aim solve schrodinger sufficient mixture collocation base hermite functions initially hermite roots employed collocation points enhancing efficiency solution schrodinger defined infinite domain hermite activation resulted excellent precision finally simulated matlabs simulink tool compared obtained physicsinformed method
Quantum-inspired nonlinear Galerkin ansatz for high-dimensional HJB equations,2311.12239v1,math.NA,2023-11-20 23:31:41+00:00,4,increasingly recognized powerful technique pdes arising diverse scientific computing domains including manybody physics context timedependent pdes dominant paradigm involves casting approximate terms stochastic minimization objective given norm pde residual viewed parameters recently advancements made direction alternative shares aspects nonlinearly parametrized galerkin variational monte carlo especially highdimensional timedependent pdes extend beyond usual scope physics inspired potential solving hamiltonjacobibellman hjb pdes galerkin commences exploration nonlinearly parametrized trial evolution analytically tractable precursor galerkin scheme present trial evolution admit closedform solutions focusing timedependent hjb relevant finance
Deep learning-based quantum algorithms for solving nonlinear partial differential equations,2305.02019v2,quant-ph,2023-05-03 10:17:51+00:00,4,frequently appear natural sciences related disciplines solving often challenging particularly high dimensions due curse dimensionality work explore potential enhancing learningbased solving highdimensional nonlinear suitable subroutines first nearterm noisy intermediatescale computers mind construct architectures employing variational circuits conjunction hybrid architectures equal worse fully counterparts simulations still highdimensional cases mechanical nature next identify bottlenecks imposed monte carlo sampling networks find quantumaccelerated monte carlo offer potential speed estimation loss function addition identify analyse tradeoffs quantumaccelerated monte carlo estimate gradients different methods including recently developed backpropagationfree forward gradient method finally discuss usage suitable accelerating feedforward networks hence provides different avenues potential polynomial speedups learningbased nonlinear equations
Q-Flow: Generative Modeling for Differential Equations of Open Quantum Dynamics with Normalizing Flows,2302.12235v2,quant-ph,2023-02-23 18:54:27+00:00,4,studying dynamics open enable breakthroughs fundamental physics applications engineering computation since density matrix r fundamental description dynamics systems highdimensional customized generative instrumental modeling r however complexvalued nature normalization constraints r well complicated dynamics prohibit seamless connection open recent advances generative modeling lift limitation utilizing reformulation open dynamics pde corresponding probability distribution q husimi function thus seamlessly offtheshelf generative normalizing flows additionally normalizing flow evolution governed highdimensional pdes euler timedependent variational principle name resulting qflow scalability efficiency qflow open simulations including dissipative harmonic oscillator dissipative bosonic model qflow superior conventional pde solvers stateoftheart physicsinformed solvers especially highdimensional systems
On Physics-Informed Neural Networks for Quantum Computers,2209.14754v2,quant-ph,2022-09-28 11:10:29+00:00,1,physicsinformed pinn emerged powerful tool solving scientific computing problems ranging assimilation tasks advantages pinn leverage usage frameworks relying combined usage cpus coprocessors accelerators achieve maximum performance investigates design implementation pinns processing unit qpu coprocessor design simple pinn solve onedimensional poisson continuous variable cv computing framework discuss impact different optimizers pinn residual formulation depth pinn accuracy optimizer exploration landscape case pinn effective pinn basic stochastic gradient descent sgd optimizers outperform adaptive highorder optimizers finally highlight difference pinns outline future research challenges pinn development
Quantum-Inspired Tensor Neural Networks for Partial Differential Equations,2208.02235v2,cs.LG,2022-08-03 17:41:11+00:00,4,pdes variety dynamical science engineering recent advances enabled us solve higher dimension addressing curse dimensionality ways however constrained time memory tackle shortcomings implement tensor tnn quantuminspired architecture leverages tensor ideas improve upon approaches tnn significant parameter savings attaining compared dense dnn addition tnn trained faster dnn accuracy benchmark tnn applying solve parabolic pdes specifically blackscholesbarenblatt equation widely financial pricing theory empirically showing advantages tnn dnn examples hamiltonjacobibellman equation discussed
Quantum-inspired variational algorithms for partial differential equations: Application to financial derivative pricing,2207.10838v1,math.NA,2022-07-22 02:06:23+00:00,4,variational monte carlo vmc combined neuralnetwork states offers angle attack curseofdimensionality encountered particular class pdes namely real imaginary timedependent schrodinger equation paper present simple generalization vmc applicable arbitrary timedependent pdes showcasing technique multiasset blackscholes pde pricing european options contingent many correlated underlying assets
Lagrangian Density Space-Time Deep Neural Network Topology,2207.12209v1,quant-ph,2022-06-30 03:29:35+00:00,2,networkbased functional approximator lagrangian density spacetime networks lddnn topology qualified unsupervised predict dynamics underlying physical science governed phenomena prototypical respects fundamental conservation laws nature succinctly described lagrangian hamiltonian density given dataset generalized nonlinear equations objective parameterize lagrangian density directly learn instead handcrafting exact timedependent action solution lagrangian density physical system approach understand open information inference aspect blackbox representation physical dynamics nature constructing customtailored interconnect topologies activation losscost underlying physical operators article discuss statistical physics interpretation lagrangian hamiltonian domains
Integral Transforms in a Physics-Informed (Quantum) Neural Network setting: Applications & Use-Cases,2206.14184v1,quant-ph,2022-06-28 17:51:32+00:00,8,many engineering science differentiation essential integration needed important class include socalled integrodifferential include integrals derivatives function another example stochastic written terms probability density stochastic variable learn characteristics stochastic variable density function specific integral transforms namely moments density need calculated recently paradigm physicsinformed emerged increasing popularity solve leveraging automatic differentiation work augment paradigm physicsinformed automatic integration order compute complex integral transforms trained solutions solve integrodifferential integrals computed onthefly training furthermore showcase techniques various settings numerically simulating computerbased well networks
A comparison of PINN approaches for drift-diffusion equations on metric graphs,2205.07195v1,stat.ML,2022-05-15 06:17:33+00:00,8,focus comparing approaches graphs metric graphs ie graphs dedicated edge lengths associated operator case driftdiffusion model graphs require careful discretization operator incorporates node conditions case kirchhoffneumann conditions traditional schemes rather mature tailored manually becomes constraint optimization problem recently physics informed pinns emerged versatile tool range applications offer flexibility solve parameter identification optimization slightly changing formulation forward simulation compare several pinn approaches solving driftdiffusion metric graph
One-Shot Transfer Learning of Physics-Informed Neural Networks,2110.11286v2,cs.LG,2021-10-21 17:14:58+00:00,4,solving efficiently accurately sits heart progress many areas scientific research dynamical mechanics surge interest physicsinformed pinns tackle numerous benefits traditional approaches despite potential benefits solving equations transfer explored study present general framework transfer pinns oneshot inference linear ordinary equations means highly accurate many unknown obtained instantaneously without retraining entire network efficacy solving several realworld problems first secondorder linear ordinary equations poisson equation timedependent schrodinger complexvalue equation
"Machine Learning For Elliptic PDEs: Fast Rate Generalization Bound, Neural Scaling Law and Minimax Optimality",2110.06897v2,math.NA,2021-10-13 17:26:31+00:00,4,paper statistical limits techniques solving elliptic pdes random samples ritz drm physicsinformed pinns simplify problem focus prototype elliptic pde schrodinger hypercube zero dirichlet boundary condition wide quantummechanical systems establish upper lower bounds methods improves upon concurrently developed upper bounds via fast rate generalization bound discover current ritz suboptimal modified version it prove pinn modified version drm achieve minimax optimal bounds sobolev spaces empirically following recent improve growing sets according power law supply experiments similar behavior dimension dependent power law pde solvers
Continuous-variable neural-network quantum states and the quantum rotor model,2107.07105v1,quant-ph,2021-07-15 03:53:14+00:00,4,initiate neuralnetwork state analyzing continuousvariable lattice quantization simple family continuousvariable trial wavefunctons introduced naturally generalizes restricted boltzmann rbm wavefunction introduced analyzing spin systems virtue simplicity variational monte carlo developed ground state determination time evolution spin natural analogues continuum offer proof principle demonstration context ground state determination stoquastic rotor hamiltonian compared obtained pde scalable eigensolvers serves benchmark future investigation continuousvariable states compared points need architectures sophisticated algorithms
Predicting Quantum Potentials by Deep Neural Network and Metropolis Sampling,2106.03126v2,quant-ph,2021-06-06 14:03:17+00:00,4,hybridizations physics caused essential impacts methodology fields inspired potential network solve potential schrodinger provided eigenstate combining metropolis sampling network dub metropolis potential mpnn loss explicitly involve energy optimization accurate evaluation benchmarking harmonic oscillator hydrogen atom mpnn excellent stability predicting potential satisfy schrodinger equation eigenenergy proposal could potentially abinitio simulations inversely solving physics beyond
"Deep Learning: Hydrodynamics, and Lie-Poisson Hamilton-Jacobi Theory",2105.09542v2,math.OC,2021-05-20 06:55:17+00:00,5,interpretation dynamical gained considerable attention recent years provides promising framework allows existing ideas established fields mathematics studying networks article present equivalent hydrodynamics formulation fact possess liepoisson structure allows poisson geometry learning possible considering stochastic optimal control problem solved meanfield type control optimality conditions stochastic optimal control yield equations reduce hydrodynamics take hydrodynamics equivalence that conditions imposed network equivalent nonlinear schrodinger equation particular geometric structure present structurepreserving scheme hamiltonjacobi theory liepoisson version known liepoisson hamiltonjacobi theory choice scheme decided fact deterministic meanfield type control hamiltonians eliminates possibility emergence fictitious solutions eliminates need additional constraints constructing high order methods
dNNsolve: an efficient NN-based PDE solver,2103.08662v1,cs.LG,2021-03-15 19:14:41+00:00,8,nns solve ordinary odes pdes redefining question optimization problem objective optimized sum squares pde solved initialboundary conditions feed forward nn trained minimise loss evaluated set collocation points sampled domain defined compact smooth solution depends weights trained nn obtained often referred pinn physics informed raissiphysics despite success pinn solving various classes pdes implementation idea capable solving large class odes pdes good without need finely tune hyperparameters network available yet paper implementation concept called dnnsolve makes dual solve odespdes include i sine sigmoidal activation functions basis capture secular periodic patterns solutions ii newly designed architecture makes easy nn approximate basis mentioned above dnnsolve capable solving broad range odespdes spacetime dimensions without need hyperparameter finetuning
Partial Differential Equations is All You Need for Generating Neural Architectures -- A Theory for Physical Artificial Intelligence Systems,2103.08313v2,cs.LG,2021-03-10 00:05:46+00:00,6,work generalize reactiondiffusion statistical physics schrodinger mechanics helmholtz paraxial optics npde considered fundamental field artificial intelligence research take finite difference discretize npde finding solution basic building blocks architecture including multilayer perceptron convolutional recurrent networks generated strategies adaptive moment estimation lbfgs pseudoinverse constrained optimization presented believe significance clear physical image interpretable networks makes possible applying analog computing device design pave road physical artificial intelligence
DeepSets and their derivative networks for solving symmetric PDEs,2103.00838v2,math.OC,2021-03-01 08:19:16+00:00,4,solving nonlinear pdes hot topical issues different literature approximation high dimension paper class pdes invariant permutations called symmetric pdes widespread ranging cosmology mechanics option pricinghedging multiasset market exchangeable payoff main comes actually particles approximation meanfield control problems design certain types networks named pointnet deepset and associated derivative networks computing simultaneously approximation gradient symmetric pdes illustrate pointnetdeepset compared feedforward ones several examples meanfield systemic risk meanvariance minmax linear quadratic mckeanvlasov control problem
Control of Stochastic Quantum Dynamics by Differentiable Programming,2101.01190v2,quant-ph,2021-01-04 19:00:03+00:00,5,control stochastic dynamics indispensable fields information processing metrology however general readymade design control strategies here framework automated design control schemes differentiable programming partial mathrmp state preparation stabilization qubit subjected homodyne detection end formulate control task optimization loss quantifies distance target state employ nns controllers systems time evolution governed stochastic sde implement training backpropagate gradient information loss sde solver adjoint sensitivity methods example feed state controller focus different obtaining gradients second example directly feed homodyne detection signal controller instantaneous value homodyne current contains limited information actual state system masked unavoidable photonnumber fluctuations despite resulting poor signaltonoise ratio train controller prepare stabilize qubit target state mean fidelity around compare found nn handcrafted control strategy
Autoregressive Transformer Neural Network for Simulating Open Quantum Systems via a Probabilistic Formulation,2009.05580v4,cond-mat.str-el,2020-09-11 18:00:00+00:00,4,theory open lays foundations substantial part modern research science engineering rooted dimensionality extended hilbert spaces high complexity simulating open calls development strategies approximate dynamics paper present tackling open dynamics exact probabilistic formulation physics positive operatorvalued measure povm compactly represent states autoregressive transformer networks bring significant algorithmic flexibility due exact sampling tractable density concept string states partially restore symmetry autoregressive transformer improve description local correlations developed simulate dynamics liouvillian superoperator forwardbackward trapezoid find steady state via variational formulation benchmarked prototypical twodimensional systems finding closely track exact achieve higher alternative approaches markov chain monte carlo sample restricted boltzmann machines provides general understanding dynamics various contexts well techniques solving highdimensional probabilistic setups
Solving differential equations with neural networks: Applications to the calculation of cosmological phase transitions,1902.05563v2,hep-ph,2019-02-14 19:01:08+00:00,8,starting observation artificial uniquely suited solving optimisation problems physics cast optimisation task way finding wide classes equations find flexible stable without relying trial solutions applicable ordinary coupled equations calculation tunnelling profiles cosmological phase transitions relevance baryogenesis stochastic gravitational wave spectra comparing publicly available codes optimised calculation tunnelling profiles find least accurate dedicated solvers parameter choices even accurate reliable solutions particular compare publicly available profile solvers textttcosmotransitions textttbubbleprofiler give explicit examples finds correct dedicated solvers not point artificial solve viable cast form mathcalfvecx applicable various perturbative nonperturbative field theory
